,frame,ivector,xvector,mfa_train
onset_err_mean,,,,
onset_err_median,10.000000000000009,10.000000000000009,10.000000000000009,23.674191089588238
onset_err_std,,,,
onset_err_IQR,15.250994880567749,15.161447981506981,15.237322909311722,30.00000000000003
onset_err_lt20,0.704325254293562,0.7059373962389447,0.7439024390243902,0.4062149121476042
onset_err_lt50,0.906039660740696,0.9094147121856984,0.9341051019205844,0.8063605741510637
onset_err_lt100,0.9575624037910114,0.960940565667542,0.9792918581359726,0.9172154280338665
offset_err_mean,,,,
offset_err_median,10.949164863202077,10.986762811381112,10.225794540632771,20.28502821347511
offset_err_std,,,,
offset_err_IQR,18.789635323175983,18.01062452500679,15.914637644188101,32.228031842384766
offset_err_lt20,0.6544022214844104,0.6556189441275015,0.6906150583244963,0.44123448547931904
offset_err_lt50,0.8804744800941716,0.8865948262851279,0.9087722398963121,0.7781689072315116
offset_err_lt100,0.9461531496181824,0.9505870989163573,0.9679804406739719,0.9057748915121536
onset_err_pct_mean,,,,
onset_err_pct_median,9.874968592820531,9.770633188241629,9.382756074914646,20.0
onset_err_pct_std,,,,
onset_err_pct_IQR,19.294517666214,18.948425963184064,17.899993269608846,46.73088953049872
onset_err_pct_lt20,0.695028824967553,0.6988740982221014,0.7236656062212796,0.48954571662671076
onset_err_pct_lt50,0.8847303129999095,0.8856289051888074,0.9117179215270413,0.7175674445422268
onset_err_pct_lt100,0.945217470043162,0.945576383229195,0.9678036997761282,0.8549752678056626
offset_err_pct_mean,,,,
offset_err_pct_median,11.728601147213341,11.699795644612333,11.11111111111114,21.653694124195994
offset_err_pct_std,,,,
offset_err_pct_IQR,22.114424025768102,21.249501016542915,20.630397312068133,30.684183477834882
offset_err_pct_lt20,0.6530137937279286,0.6579733767997826,0.6827795451867562,0.4596850059175189
offset_err_pct_lt50,0.8762186471884338,0.882610401762806,0.9074466831624838,0.8068461141625952
offset_err_pct_lt100,0.9451571036189671,0.9509795043617375,0.971102863202545,0.9325402846478318
