,frame,ivector,xvector,mfa_train
onset_err_mean,21.646719375622475,21.690599496645955,19.84345320062111,32.14874538360667
onset_err_std,,,,
onset_err_lt20,0.6474617951870718,0.6420165115053574,0.6700780572419774,0.45299295774647885
onset_err_lt50,0.9076058317231688,0.9107676093448094,0.9224631396357329,0.8762323943661972
onset_err_lt100,0.9660987177235201,0.9668013349727735,0.9727666955767563,0.9517605633802817
offset_err_mean,20.048159141132032,19.516853447912045,17.85945694948398,33.342535095647214
offset_err_std,,,,
offset_err_lt20,0.7112243105568242,0.7133321623045846,0.7437987857762359,0.5065140845070423
offset_err_lt50,0.9084841032847356,0.915861584401897,0.9271465741543798,0.8470070422535211
offset_err_lt100,0.9583699279817319,0.9631125944141928,0.9694709453599306,0.9329225352112676
onset_err_pct_mean,22.275337115044223,22.502925974430294,20.821212932336778,31.30025100966026
onset_err_pct_std,,,,
onset_err_pct_lt20,0.711575619181451,0.7110486562445109,0.7209019947961839,0.5621478873239436
onset_err_pct_lt50,0.9025118566660811,0.9047953627261549,0.9054640069384216,0.8621478873239437
onset_err_pct_lt100,0.9573160021078517,0.9573160021078517,0.961491760624458,0.9478873239436619
offset_err_pct_mean,19.635539508708383,19.424180467275843,17.33072101903476,29.94182744274989
offset_err_pct_std,,,,
offset_err_pct_lt20,0.7561918145090462,0.7640962585631478,0.7751951431049436,0.5841549295774648
offset_err_pct_lt50,0.9149833128403302,0.9167398559634639,0.9257588898525585,0.8533450704225352
offset_err_pct_lt100,0.9620586685403126,0.9629369401018795,0.9705117085862967,0.9549295774647887
