,Acc,NumCorrect,NumPredicted,AccMatched,NumCorrectMatched,NumPredictedMatched
ivector,0.9276675294794363,38706.0,41724.0,0.9397128543088665,27948.0,29741.0
frame,0.9225243837985874,38401.0,41626.0,0.9361659079413253,27762.0,29655.0
xvector,0.9391760406284114,39575.0,42138.0,0.9402602162360271,35917.0,38199.0
mfa_base,0.7617473861314746,25354.0,33284.0,0.7644530025525055,17071.0,22331.0
mfa_train,0.8801844707017121,29201.0,33176.0,0.8997995078829855,19747.0,21946.0
