,frame,ivector,xvector,mfa_train
onset_err_mean,22.806674318201384,21.831577781233584,20.436726936153818,42.884460417810644
onset_err_std,,,,
onset_err_lt20,0.6265769554247267,0.6291882798261601,0.6641999441496789,0.3299972199054768
onset_err_lt50,0.8749649565461172,0.8763493621197253,0.8966769058922088,0.7770364192382541
onset_err_lt100,0.9520605550883096,0.9559792513668863,0.9662105557106954,0.9057547956630525
offset_err_mean,24.10259519431483,23.551793583876737,21.977943219403656,37.754144127350266
offset_err_std,,,,
offset_err_lt20,0.6117185309784132,0.6162904808635917,0.6457693381736945,0.4178482068390325
offset_err_lt50,0.8615082702551163,0.8677975606336745,0.8856464674671879,0.790936891854323
offset_err_lt100,0.9432296047098402,0.9460255152109912,0.9553197430885227,0.9261884904086739
onset_err_pct_mean,29.344599113633354,27.82346865191947,25.70084308555546,52.47057492267947
onset_err_pct_std,,,,
onset_err_pct_lt20,0.6054107092795066,0.6091406140473854,0.6285953644233454,0.3426466499860995
onset_err_pct_lt50,0.8519764507989908,0.8540586008691995,0.8782462999162245,0.6811231581873783
onset_err_pct_lt100,0.9334174376226521,0.9367727463900182,0.9500139625802848,0.8739227133722547
offset_err_pct_mean,30.540027763914903,28.953316290862116,26.10092274820951,44.62194931207585
offset_err_pct_std,,,,
offset_err_pct_lt20,0.5894308943089431,0.5888125613346418,0.6089081262217257,0.40297470113983874
offset_err_pct_lt50,0.8409027193720213,0.8478900883218842,0.870427254956716,0.7518765638031694
offset_err_pct_lt100,0.9346790019624334,0.941819711201458,0.9539234850600391,0.908256880733945
