Method,Acc,NumCorrect,NumPredicted,AccMatched,NumCorrectMatched,NumPredictedMatched
xvector,0.935174104667114,32040,34261,0.940915656175473,28012,29771
ivector,0.918983460597305,31171,33919,0.93710413252425,21157,22577
frame,0.906766961478565,30860,34033,0.929556604646857,20084,21606
mfa_adapt_us_arpa,0.761747386131475,25354,33284,0.764453002552505,17071,22331
mfa_trained_old,0.880184470701712,29201,33176,0.899799507882985,19747,21946
