,frame,ivector,xvector,mfa_train
onset_err_mean,18.204712618371257,17.057470788439883,16.6803311824738,54.15631439016642
onset_err_std,,,,
onset_err_lt20,0.7650502736413389,0.7635229731449663,0.7975569410866522,0.17352368591823492
onset_err_lt50,0.921344024436808,0.9271986763395698,0.9401959536836748,0.6773523685918235
onset_err_lt100,0.968563064782996,0.9751813669339443,0.981549815498155,0.8799480856586632
offset_err_mean,18.44590300679105,16.667609329416237,16.339352015734868,26.472192744665175
offset_err_std,,,,
offset_err_lt20,0.7448135420644012,0.7557591956217385,0.7853416465199134,0.6412719013627515
offset_err_lt50,0.9343260786559756,0.9436171566755759,0.9562285278025194,0.9083711875405581
offset_err_lt100,0.9703449153620974,0.9773450426371388,0.9830767273189973,0.9567813108371187
onset_err_pct_mean,33.774936202589565,32.00364967636779,30.43259918160253,106.41593504270224
onset_err_pct_std,,,,
onset_err_pct_lt20,0.5587374315896653,0.5624284077892325,0.5811171904822496,0.13380921479558727
onset_err_pct_lt50,0.8346697212676594,0.8312332951508209,0.8592696271790304,0.33536664503569114
onset_err_pct_lt100,0.9399261804760086,0.9358533791523482,0.9562285278025194,0.6193380921479559
offset_err_pct_mean,33.50722030296369,29.789126467822744,28.441351317362678,46.10597277891221
offset_err_pct_std,,,,
offset_err_pct_lt20,0.5209367443044419,0.5339187985236096,0.5554141748314035,0.40648929266709927
offset_err_pct_lt50,0.845360824742268,0.8557973781341479,0.8843364295711923,0.7718364698247892
offset_err_pct_lt100,0.9462899325442281,0.9583810614738449,0.9697162488866268,0.9242050616482803
